,Name,Average(joule),Standart deviation(%),Standart deviation(J),Min,Max,Average(alljoule),Time(s),Joule/sec,Run count
0,java-2.problem0,124,3.62,4.48,115,134,966,5.122261904762,24.2,21
1,java-3.problem0,122,2.24,2.73,115,127,930,4.917119047619,24.8,21
2,java-4.problem0,146,2.01,2.95,141,151,1.02e+03,5.287698412698,27.7,21
3,java-6.problem0,123,2.33,2.86,116,128,945,4.989659090909,24.6,22
4,java-7.problem0,110,2.36,2.59,106,116,411,1.833228571429,59.7,21
5,java-1.problem1,241,2.07,4.98,231,251,650,2.482045454545,97,22
6,java-2.problem1,855,16.3,139,638,1.07e+03,7.42e+03,40.01263157895,21.4,19
7,java-3.problem1,170,1.78,3.03,165,177,478,1.874971428571,90.8,21
8,java-2.problem2,107,7.59,8.1,93.9,117,926,4.968522727273,21.5,22
9,java-4.problem2,72,9.85,7.09,60.8,80.6,689,3.74415,19.2,20
10,java-1.problem3,553,11.3,62.7,465,621,5.05e+03,27.31925595238,20.2,21
11,java-2.problem3,107,1.13,1.21,104,108,323,1.314238636364,81.1,22
12,java-3.problem3,163,3.07,5.01,151,174,462,1.817220238095,89.9,21
13,java-4.problem3,106,1.64,1.75,103,109,338,1.405653409091,75.7,22
14,java-6.problem3,117,1.48,1.73,114,119,343,1.371698863636,85.4,22
15,java-1.problem4,143,11,15.8,122,168,1.29e+03,6.972454545455,20.5,22
16,java-2.problem4,133,12,15.9,111,153,1.25e+03,6.769261904762,19.6,21
17,java-3.problem4,130,10.9,14.2,109,146,1.24e+03,6.740825,19.4,20
18,java-4.problem4,119,10.9,13,102,135,1.17e+03,6.362476190476,18.7,21
19,java-5.problem4,124,10.2,12.6,102,138,1.2e+03,6.573052631579,18.9,19
20,java-4.problem5,32.5,8.92,2.9,27.2,35.7,328,1.791727272727,18.1,22
21,java-5.problem5,32.1,9.02,2.89,26.4,35.9,323,1.763056818182,18.2,22
22,java-6.problem5,31.1,10.4,3.22,25.5,35.2,297,1.619279761905,19.2,21
23,java-8.problem5,70.5,6.42,4.53,62.3,79.4,349,1.691988636364,41.7,22
24,java-1.problem6,125,11.4,14.2,99.4,145,1.37e+03,7.543,16.5,22
25,java-2.problem6,109,4.86,5.3,94.1,120,371,1.596857142857,68.2,21
26,javascript-1.problem0,601,3.45,20.7,561,637,4.63e+03,24.44152380952,24.6,21
27,javascript-1.problem1,867,11.3,98,725,987,7.62e+03,40.97895238095,21.2,21
28,javascript-3.problem1,5.7e+03,9.57,545,4.96e+03,6.33e+03,4.68e+04,248.5666666667,22.9,21
29,javascript-4.problem1,744,9.63,71.7,655,848,6.58e+03,35.39836363636,21,22
30,javascript-1.problem2,1.32e+03,6.6,86.9,1.18e+03,1.43e+03,1.02e+04,54.15922727273,24.3,22
31,javascript-2.problem2,1.33e+03,6.75,90.1,1.19e+03,1.45e+03,1.03e+04,54.37485714286,24.5,21
32,javascript-3.problem2,1.35e+03,6.44,86.8,1.19e+03,1.47e+03,1.03e+04,54.12965,24.9,20
33,javascript-4.problem2,1.38e+03,5.49,75.7,1.23e+03,1.48e+03,1.04e+04,54.54190909091,25.3,22
34,javascript-1.problem4,144,11.4,16.4,119,170,1.38e+03,7.4865,19.2,20
35,javascript-2.problem4,205,11.2,23,169,241,1.94e+03,10.5426,19.4,20
36,javascript-4.problem4,152,12.2,18.6,122,186,1.52e+03,8.289619047619,18.3,21
37,javascript-5.problem4,153,12.1,18.4,123,185,1.56e+03,8.524761904762,17.9,21
38,javascript-2.problem5,156,6.66,10.4,140,171,1.31e+03,6.998119047619,22.3,21
39,javascript-7.problem5,61.7,7.3,4.5,55.2,67.7,586,3.178787878788,19.4,22
40,javascript-1.problem6,96.4,12,11.6,79.7,116,1.01e+03,5.53165,17.4,20
41,javascript-2.problem6,147,10.1,14.8,127,168,1.36e+03,7.361071428571,19.9,21
42,javascript-3.problem6,95.6,11.8,11.3,79.3,109,1e+03,5.5161,17.3,20
43,javascript-5.problem6,95.2,11.7,11.1,78.9,111,1e+03,5.508,17.3,21
44,python3-1.problem0,2.73e+03,0.748,20.4,2.7e+03,2.78e+03,7.38e+03,28.18604545455,97,22
45,python3-2.problem0,5.05e+03,7.49,378,4.45e+03,5.58e+03,3.86e+04,204.55365,24.7,20
46,python3-1.problem1,4.84e+04,2.44,1.18e+03,4.68e+04,5.04e+04,1.62e+05,689.1731,70.2,20
47,python3-2.problem1,4.18e+04,2.13,890,4.07e+04,4.32e+04,1.39e+05,587.6414761905,71.1,21
48,python3-4.problem1,1.73e+04,0.439,76.1,1.71e+04,1.75e+04,3.78e+04,124.0123636364,140,22
49,python3-6.problem1,3.75e+04,9.29,3.48e+03,3.23e+04,4.3e+04,2.92e+05,1546.149409091,24.2,22
50,python3-1.problem2,3.11e+03,9.79,304,2.68e+03,3.59e+03,2.49e+04,131.9622272727,23.5,22
51,python3-2.problem2,3.33e+03,9.15,304,2.81e+03,3.69e+03,2.57e+04,135.5936818182,24.5,22
52,python3-3.problem2,2.27e+03,9.15,208,1.9e+03,2.52e+03,1.77e+04,93.27476190476,24.3,21
53,python3-2.problem3,1.74e+04,1.46,254,1.69e+04,1.79e+04,4.71e+04,179.9895454545,96.7,22
54,python3-5.problem3,1.78e+04,0.518,92.3,1.77e+04,1.8e+04,3.86e+04,125.6479047619,142,21
55,python3-1.problem4,1.72e+04,8.39,1.44e+03,1.54e+04,1.89e+04,1.29e+05,677.2868333333,25.3,18
56,python3-2.problem4,1.59e+04,9.03,1.43e+03,1.37e+04,1.75e+04,1.25e+05,664.4549545455,23.9,22
57,python3-4.problem5,85.9,5.99,5.15,74.8,91.7,738,3.970015873016,21.6,21
58,python3-6.problem5,57.2,5,2.86,51.3,61.8,510,2.756555555556,20.7,21
59,python3-5.problem6,1.16e+04,1.58,183,1.13e+04,1.2e+04,4.13e+04,180.3593181818,64.4,22
60,python3-6.problem6,1.43e+04,7.86,1.13e+03,1.28e+04,1.56e+04,1.09e+05,578.6553333333,24.8,21
61,php-1.problem0,1.25e+04,6.52,813,1.13e+04,1.34e+04,9.3e+04,491.8429,25.4,20
62,php-2.problem0,1.21e+04,6.78,824,1.1e+04,1.32e+04,9.13e+04,480.5049375,25.3,16
63,php-3.problem0,2.32e+04,8.44,1.96e+03,2.05e+04,2.62e+04,1.81e+05,953.1915714286,24.4,21
64,php-1.problem1,4.06e+04,9.7,3.93e+03,3.52e+04,4.68e+04,3.3e+05,1743.637666667,23.3,18
65,php-2.problem1,3.24e+04,8.92,2.89e+03,2.8e+04,3.7e+04,2.59e+05,1373.624636364,23.6,22
66,php-3.problem1,1.51e+04,0.632,95.4,1.5e+04,1.53e+04,3.29e+04,108.8081,139,20
67,php-2.problem2,5.48e+03,6.15,337,4.82e+03,5.88e+03,3.92e+04,204.1655238095,26.8,21
68,php-3.problem2,1.94e+03,8.63,167,1.65e+03,2.13e+03,1.45e+04,76.2119047619,25.4,21
69,php-4.problem2,907,6.48,58.7,815,988,6.89e+03,36.04694736842,25.2,19
70,php-1.problem3,1.46e+04,8.74,1.27e+03,1.25e+04,1.61e+04,1.11e+05,586.9214285714,24.8,21
