,Language,Binarytrees,Fannkuchredux,Fasta,Mandelbrot,Nbody,Revcomp,Spectralnorm
0,java-,"['125', '123', '9.85', '106', '151']","['414', '241', '76.2', '165', '1.07e+03']","['87.4', '80', '21.1', '60.8', '117']","['206', '117', '84.1', '103', '621']","['130', '131', '12.8', '102', '168']","['41.8', '34.2', '41.1', '25.5', '79.4']","['117', '112', '11.4', '94.1', '145']"
1,javascript-,"['601', '603', '3.45', '561', '637']","['2.41e+03', '926', '96.3', '655', '6.33e+03']","['1.34e+03', '1.37e+03', '6.55', '1.18e+03', '1.48e+03']","('NaN', 'NaN')","['163', '161', '18.8', '119', '241']","['108', '67.7', '44.4', '55.2', '171']","['109', '104', '23.4', '78.9', '168']"
2,python3-,"['3.84e+03', '2.77e+03', '30.9', '2.7e+03', '5.58e+03']","['3.59e+04', '4.08e+04', '32.8', '1.71e+04', '5.04e+04']","['2.91e+03', '2.91e+03', '18.2', '1.9e+03', '3.69e+03']","['1.76e+04', '1.77e+04', '1.58', '1.69e+04', '1.8e+04']","['1.64e+04', '1.68e+04', '9.55', '1.37e+04', '1.89e+04']","['71.6', '68.3', '20.9', '51.3', '91.7']","['1.3e+04', '1.28e+04', '12.3', '1.13e+04', '1.56e+04']"
3,php-,"['1.63e+04', '1.31e+04', '33.2', '1.1e+04', '2.62e+04']","['2.88e+04', '3.19e+04', '37.6', '1.5e+04', '4.68e+04']","['2.84e+03', '2.06e+03', '69.6', '815', '5.88e+03']","['1.03e+04', '6.25e+03', '41.6', '6.08e+03', '1.61e+04']","['9.42e+03', '9.33e+03', '8.8', '8e+03', '1.05e+04']","['17.9', '12.1', '48.4', '9.64', '32.1']","['4.32e+03', '4e+03', '35.1', '2.79e+03', '6.39e+03']"
4,cs-,"['1.19e+03', '1.05e+03', '49.1', '588', '2.25e+03']","['1.18e+03', '1.17e+03', '13.4', '897', '1.44e+03']","['136', '137', '12.1', '87.2', '162']","['509', '247', '113', '210', '1.98e+03']","['270', '244', '32.6', '182', '528']","['32.5', '27', '55.7', '16.9', '80.3']","['119', '104', '76.5', '15.2', '241']"
5,yarv-,"['2.45e+03', '2.45e+03', '8.7', '2.02e+03', '2.87e+03']","['4.13e+04', '4.09e+04', '8.11', '3.62e+04', '4.56e+04']","['2.35e+03', '2.28e+03', '23.2', '1.41e+03', '3.58e+03']","['1.95e+04', '1.53e+04', '41.2', '1.25e+04', '3.71e+04']","['8.01e+03', '8.48e+03', '8.98', '6.88e+03', '8.77e+03']","['88.2', '102', '33.1', '54.8', '128']","['4.56e+03', '4.55e+03', '16.3', '3.77e+03', '5.95e+03']"
6,c-flags-,"['375', '354', '15.5', '310', '480']","['500', '542', '50.7', '187', '980']","['64.4', '59.4', '39.7', '32.8', '129']","['172', '97.3', '87.9', '32.1', '490']","['93', '92.6', '13.9', '65.5', '123']","['14.3', '13.7', '23', '9.45', '22.7']","['41.3', '31.2', '69.6', '18.4', '101']"
7,c-noflags-,"['438', '410', '17.8', '354', '561']","['935', '678', '65.2', '199', '2.12e+03']","['131', '139', '27.4', '43.8', '169']","['422', '328', '86.4', '74.9', '1.16e+03']","['320', '281', '38.7', '163', '636']","['24.4', '24.6', '34.2', '11.3', '38.8']","['83.7', '56.2', '48.7', '42', '169']"
8,c++-flags-,"['70.2', '69.8', '6.31', '61.7', '77.5']","['383', '466', '40.4', '202', '619']","['62.7', '56.8', '23.7', '43.1', '95.7']","['247', '152', '106', '20.6', '903']","['94.5', '93.2', '17.1', '67.5', '132']","['71.7', '26.7', '135', '11', '293']","['47.5', '27.6', '60.7', '19.4', '109']"
9,c++-noflags-,"['752', '804', '10.4', '647', '846']","['1.86e+03', '1.63e+03', '40.2', '826', '3.09e+03']","['472', '384', '56.9', '109', '851']","['1.84e+03', '1.1e+03', '97.5', '657', '6.35e+03']","['653', '683', '44.4', '226', '1.18e+03']","['185', '41.8', '116', '13.5', '618']","['95.9', '29.3', '115', '27.6', '334']"
