,Program1,Program2,p
0,java-2.problem0,java-3.problem0,0.15449044585912683
1,java-2.problem0,java-6.problem0,0.4590602782162234
2,java-3.problem0,java-6.problem0,0.24419822329902316
3,java-2.problem3,java-4.problem3,0.8209644313374204
4,java-2.problem4,java-3.problem4,0.16979439600360569
5,java-4.problem5,java-5.problem5,0.8417636796402738
6,java-5.problem5,java-6.problem5,0.5309076214637045
7,javascript-1.problem2,javascript-2.problem2,0.9304436266599937
8,javascript-1.problem2,javascript-3.problem2,0.42309843389295
9,javascript-2.problem2,javascript-3.problem2,0.8323467278969205
10,javascript-3.problem2,javascript-4.problem2,0.6962718065145785
11,javascript-1.problem4,javascript-4.problem4,0.3675336903529167
12,javascript-1.problem4,javascript-5.problem4,0.3675336903529167
13,javascript-4.problem4,javascript-5.problem4,0.9727889606858308
14,javascript-1.problem6,javascript-3.problem6,0.9654847408986159
15,javascript-1.problem6,javascript-5.problem6,0.9997901440526158
16,javascript-3.problem6,javascript-5.problem6,0.943834710694339
17,cs-1.problem3,cs-4.problem3,0.3037824071138745
18,cs-3.problem3,cs-4.problem3,0.0794031137554877
19,cs-4.problem3,cs-6.problem3,0.22275647902891743
20,cs-2.problem4,cs-3.problem4,0.2387710302991914
21,cs-3.problem4,cs-5.problem4,0.15449044585912683
22,cs-4.problem4,cs-6.problem4,0.9163041360815075
23,cs-4.problem4,cs-8.problem4,0.3037824071138745
24,cs-6.problem4,cs-8.problem4,0.1943109355293911
25,cs-1.problem5,cs-5.problem5,0.1544904458591267
26,cs-2.problem5,cs-5.problem5,0.5309076214637045
27,yarv-1.problem1,yarv-2.problem1,0.05750789296681001
28,c-noflags-1.problem2,c-noflags-2.problem2,0.9922909353646573
29,c-noflags-1.problem2,c-noflags-5.problem2,0.7388141940002521
30,c-noflags-1.problem2,c-noflags-7.problem2,0.7509209962726937
31,c-noflags-2.problem2,c-noflags-5.problem2,0.4702964831404301
32,c-noflags-2.problem2,c-noflags-7.problem2,0.8087677191256134
33,c-noflags-5.problem2,c-noflags-7.problem2,0.3037824071138745
34,c-flags-2.problem4,c-flags-3.problem4,0.9999421273530738
35,c-flags-2.problem4,c-flags-6.problem4,0.9999421273530738
36,c-flags-3.problem4,c-flags-6.problem4,0.972788960685831
37,c-noflags-1.problem4,c-noflags-6.problem4,0.5309076214637051
38,c-flags-3.problem5,c-flags-6.problem5,0.18216062725220256
39,c-noflags-4.problem5,c-noflags-5.problem5,0.6394237368293326
40,c++-noflags-1.problem0,c++-noflags-3.problem0,0.47033564664681593
41,c++-noflags-1.problem0,c++-noflags-8.problem0,0.5428076335380723
42,c++-noflags-3.problem0,c++-noflags-8.problem0,0.9902455005380287
43,c++-flags-1.problem2,c++-flags-2.problem2,0.4082222182491141
44,c++-flags-2.problem3,c++-flags-5.problem3,0.9727889606858308
45,c++-noflags-8.problem3,c++-noflags-9.problem3,0.5309076214637048
46,c++-flags-3.problem4,c++-flags-8.problem4,0.7973561359166086
47,c++-flags-4.problem4,c++-flags-6.problem4,0.9654847408986159
48,c++-noflags-1.problem4,c++-noflags-6.problem4,0.0705824848049161
49,c++-noflags-7.problem4,c++-noflags-8.problem4,0.21603388199401022
