,Unnamed: 0,Name,Joule(surface),kWh(surface),allJoule(surface),allkWh(surface),time(ms),time(string)
0,19,port2.java-2.problem0.18.csv,126.69689698890636,3.519358249691843e-05,1025.48425,0.00028485673611111114,5.1595,"0 Hours, 0 Minutes, 10 Seconds, 319 Milliseconds"
1,26,port2.java-2.problem0.19.csv,116.32296440750204,3.231193455763946e-05,1035.64625,0.00028767951388888885,5.266,"0 Hours, 0 Minutes, 10 Seconds, 532 Milliseconds"
2,82,port2.java-2.problem0.22.csv,119.32031726093992,3.314453257248331e-05,994.16825,0.0002761578472222222,5.003,"0 Hours, 0 Minutes, 10 Seconds, 6 Milliseconds"
3,123,port2.java-2.problem0.21.csv,127.87674023769094,3.5521316732691934e-05,1017.5955,0.0002826654166666667,5.1065,"0 Hours, 0 Minutes, 10 Seconds, 213 Milliseconds"
4,125,port2.java-2.problem0.20.csv,117.97725039936097,3.277145844426693e-05,1025.21825,0.00028478284722222215,5.1945,"0 Hours, 0 Minutes, 10 Seconds, 389 Milliseconds"
5,159,port2.java-2.problem0.8.csv,126.86779892857145,3.5241055257936515e-05,919.6060000000001,0.00025544611111111114,5.0135,"0 Hours, 0 Minutes, 10 Seconds, 27 Milliseconds"
6,171,port2.java-2.problem0.9.csv,124.9028612469437,3.469523923526214e-05,932.03225,0.00025889784722222224,5.112,"0 Hours, 0 Minutes, 10 Seconds, 224 Milliseconds"
7,307,port2.java-2.problem0.1.csv,126.92744682835804,3.5257624118988354e-05,915.88025,0.00025441118055555555,5.007,"0 Hours, 0 Minutes, 10 Seconds, 14 Milliseconds"
8,350,port2.java-2.problem0.2.csv,122.25438099467144,3.395955027629762e-05,922.9435000000001,0.00025637319444444444,5.0785,"0 Hours, 0 Minutes, 10 Seconds, 157 Milliseconds"
9,356,port2.java-2.problem0.3.csv,124.46499742268028,3.4573610395188966e-05,953.67475,0.0002649096527777777,5.244,"0 Hours, 0 Minutes, 10 Seconds, 488 Milliseconds"
10,393,port2.java-2.problem0.7.csv,128.77036614173215,3.5769546150481145e-05,932.47625,0.00025902118055555555,5.0765,"0 Hours, 0 Minutes, 10 Seconds, 153 Milliseconds"
11,405,port2.java-2.problem0.6.csv,122.91859628522629,3.414405452367397e-05,921.14875,0.00025587465277777775,5.045,"0 Hours, 0 Minutes, 10 Seconds, 90 Milliseconds"
12,434,port2.java-2.problem0.4.csv,134.32081536796545,3.731133760221262e-05,921.31925,0.0002559220138888889,4.988,"0 Hours, 0 Minutes, 9 Seconds, 976 Milliseconds"
13,447,port2.java-2.problem0.5.csv,126.00928180212019,3.5002578278366715e-05,978.40975,0.00027178048611111106,5.395,"0 Hours, 0 Minutes, 10 Seconds, 790 Milliseconds"
14,483,port2.java-2.problem0.11.csv,127.46497203811096,3.5406936677253047e-05,918.61875,0.000255171875,5.003,"0 Hours, 0 Minutes, 10 Seconds, 6 Milliseconds"
15,486,port2.java-2.problem0.10.csv,119.78109999999997,3.3272527777777756e-05,850.6255,0.00023628486111111114,4.6035,"0 Hours, 0 Minutes, 9 Seconds, 207 Milliseconds"
16,525,port2.java-2.problem0.12.csv,124.28599082568815,3.452388634046893e-05,958.9910000000001,0.00026638638888888894,5.2715,"0 Hours, 0 Minutes, 10 Seconds, 543 Milliseconds"
17,526,port2.java-2.problem0.13.csv,124.6786034624897,3.463294540624714e-05,970.6945,0.0002696373611111111,5.0915,"0 Hours, 0 Minutes, 10 Seconds, 183 Milliseconds"
18,570,port2.java-2.problem0.17.csv,120.20893363939894,3.3391370455388594e-05,1052.8519999999999,0.00029245888888888887,5.3395,"0 Hours, 0 Minutes, 10 Seconds, 679 Milliseconds"
19,572,port2.java-2.problem0.16.csv,115.20456066775243,3.200126685215346e-05,1045.738,0.00029048277777777784,5.3315,"0 Hours, 0 Minutes, 10 Seconds, 663 Milliseconds"
20,611,port2.java-2.problem0.14.csv,121.4286441704035,3.3730178936223197e-05,994.27675,0.00027618798611111107,5.238,"0 Hours, 0 Minutes, 10 Seconds, 476 Milliseconds"
21,620,port2.java-2.problem0.15.csv,85.21674916036933,2.3671319211213707e-05,642.72375,0.000178534375,3.199,"0 Hours, 0 Minutes, 6 Seconds, 398 Milliseconds"
22,157,port2.java-3.problem0.22.csv,119.39980307941644,3.3166611966504565e-05,969.67925,0.00026935534722222215,4.8625,"0 Hours, 0 Minutes, 9 Seconds, 725 Milliseconds"
