,Language,Binarytrees,Fannkuchredux,Fasta,Mandelbrot,Nbody,Revcomp,Spectralnorm
0,java,"(244.03639747824684, 217.21002109490414)","(1682.0398268562121, 2280.3085036044404)","(1087.5929145052958, 701.31387107362593)","(230.18823259169889, 204.37676624335512)","(161.4573703162589, 28.952097271794273)","(67.888398236714394, 49.840412860659036)","(128.99027303528695, 24.063892630108359)"
1,javascript,"(728.09159464573759, 20.052388598187573)","(2860.4759403722283, 2728.4986864610764)","(1579.5701978488325, 106.95125360091833)","('NaN', 'NaN')","(183.3539847915624, 28.838053578200935)","(130.13908509582384, 51.224379743281126)","(126.32969922288089, 28.198540514078772)"
2,python3,"(4373.4921549090695, 1469.6315647127003)","(38477.383132117531, 12380.095522303849)","(3236.2964375614733, 511.44960049771413)","(18423.389640062276, 235.33832965064755)","(18326.465505607299, 410.96081448322053)","(82.555252114988619, 17.727609816608538)","(14266.580864640733, 1627.9100593179837)"
3,php,"(18265.047122233227, 6099.6509603800032)","(32828.41442401809, 12769.072694537923)","(2995.1451073728135, 2101.5410618323262)","(11184.74896511666, 4764.2727725385685)","(10424.771893916781, 18.798996007976264)","(20.310791281370353, 10.425966200610151)","(4858.9282150749432, 1866.587804331514)"
4,cs,"(2991.8674478602711, 5701.4005922112874)","(9911.7441317063513, 17077.303079185611)","(1007.6265029098189, 1336.5399302737035)","(4644.8176411372906, 8395.1149575567251)","(1483.5261046708576, 4063.2594253421926)","(70.768539434286751, 117.54758843676326)","(1800.0004180927335, 3790.0569132469163)"
5,yarv,"(2937.2276571909715, 194.95749571953189)","(49272.106031836469, 1586.2010580961023)","(2615.0426763622322, 575.86669700063169)","(21092.593645522244, 9230.3241764868326)","(8542.5093306618473, 148.09334591826521)","(99.619238475399371, 31.073988471402689)","(5078.2705187659267, 691.95668274308844)"
6,c-flags,"(422.11944507291128, 65.430920463085201)","(563.21235061130506, 286.61018127786383)","(78.320465812322595, 29.666722978514095)","(210.05886876866836, 188.84490632689608)","(110.475880338491, 9.6749652802605333)","(19.959384165878191, 8.6145716830071901)","(46.388490624739113, 34.403369009233934)"
7,c-noflags,"(486.13242415261266, 79.917780514462947)","(1082.9780410419094, 701.48005427839337)","(154.07907029461421, 41.177687412082378)","(478.54819947681722, 422.09927203688176)","(374.47520482226616, 140.9553408655799)","(29.779192866551643, 10.465378941276727)","(97.802151257513799, 51.216882106012712)"
8,c++-flags,"(82.048834089580794, 17.617564772862774)","(416.81049972727743, 169.61237992694325)","(73.637124750004645, 15.194950317060693)","(285.49410339995751, 306.75614389166299)","(108.31965824514249, 14.395382646489571)","(85.487394917209357, 112.90398943025153)","(52.621559151847855, 33.292304791851727)"
9,c++-noflags,"(862.20734868554985, 30.322057522813974)","(2003.9330605276348, 731.61393785108487)","(533.16011718428194, 306.00877343992681)","(2058.8630471048969, 2011.7602114171279)","(770.58760845677148, 330.56216807120734)","(221.80679922858539, 259.19919539813634)","(120.6855544312139, 142.74490974823561)"
