Power(W), Current(A), Energy(kWH), Time(mS)
251, 1.143, 11208.486, 1555078281234
257, 1.172, 11208.486, 1555078281856
257, 1.172, 11208.486, 1555078282452
273, 1.239, 11208.486, 1555078283065
274, 1.242, 11208.487, 1555078283689
274, 1.242, 11208.487, 1555078284293
274, 1.242, 11208.487, 1555078284908
274, 1.242, 11208.487, 1555078285521
274, 1.242, 11208.487, 1555078286134
274, 1.242, 11208.487, 1555078286744
274, 1.242, 11208.487, 1555078287357
274, 1.243, 11208.487, 1555078287968
274, 1.243, 11208.487, 1555078288575
274, 1.243, 11208.487, 1555078289190
273, 1.242, 11208.487, 1555078289805
273, 1.242, 11208.487, 1555078290421
273, 1.240, 11208.487, 1555078291044
273, 1.242, 11208.487, 1555078291663
273, 1.242, 11208.487, 1555078292284
273, 1.242, 11208.487, 1555078292895
273, 1.242, 11208.487, 1555078293512
273, 1.241, 11208.487, 1555078294133
273, 1.242, 11208.487, 1555078294745
273, 1.242, 11208.487, 1555078295364
274, 1.244, 11208.487, 1555078295970
274, 1.244, 11208.487, 1555078296581
274, 1.245, 11208.488, 1555078297194
274, 1.245, 11208.488, 1555078297815
274, 1.245, 11208.488, 1555078298433
274, 1.249, 11208.488, 1555078299043
274, 1.249, 11208.488, 1555078299648
275, 1.250, 11208.488, 1555078300251
274, 1.246, 11208.488, 1555078300856
274, 1.246, 11208.488, 1555078301464
274, 1.248, 11208.488, 1555078302071
273, 1.246, 11208.488, 1555078302674
273, 1.246, 11208.488, 1555078303278
273, 1.246, 11208.488, 1555078303893
273, 1.246, 11208.488, 1555078304494
273, 1.246, 11208.488, 1555078305111
274, 1.248, 11208.488, 1555078305729
274, 1.248, 11208.488, 1555078306339
273, 1.246, 11208.488, 1555078306953
273, 1.246, 11208.488, 1555078307566
273, 1.247, 11208.488, 1555078308190
273, 1.246, 11208.488, 1555078308791
273, 1.246, 11208.488, 1555078309387
273, 1.247, 11208.489, 1555078309991
273, 1.247, 11208.489, 1555078310589
274, 1.250, 11208.489, 1555078311193
274, 1.253, 11208.489, 1555078311787
274, 1.253, 11208.489, 1555078312388
274, 1.251, 11208.489, 1555078312990
274, 1.251, 11208.489, 1555078313595
274, 1.251, 11208.489, 1555078314202
273, 1.251, 11208.489, 1555078314820
273, 1.251, 11208.489, 1555078315430
273, 1.248, 11208.489, 1555078316047
273, 1.247, 11208.489, 1555078316659
273, 1.247, 11208.489, 1555078317267
273, 1.246, 11208.489, 1555078317878
273, 1.246, 11208.489, 1555078318495
273, 1.247, 11208.489, 1555078319117
273, 1.248, 11208.489, 1555078319732
273, 1.248, 11208.489, 1555078320370
279, 1.274, 11208.489, 1555078320979
279, 1.274, 11208.489, 1555078321589
275, 1.254, 11208.489, 1555078322199
275, 1.253, 11208.490, 1555078322823
275, 1.253, 11208.490, 1555078323429
275, 1.254, 11208.490, 1555078324044
275, 1.255, 11208.490, 1555078324662
275, 1.255, 11208.490, 1555078325279
275, 1.252, 11208.490, 1555078325898
275, 1.252, 11208.490, 1555078326513
275, 1.253, 11208.490, 1555078327132
275, 1.253, 11208.490, 1555078327737
279, 1.269, 11208.490, 1555078328352
279, 1.268, 11208.490, 1555078328975
279, 1.268, 11208.490, 1555078329588
278, 1.268, 11208.490, 1555078330193
278, 1.266, 11208.490, 1555078330797
278, 1.266, 11208.490, 1555078331401
278, 1.266, 11208.490, 1555078332013
278, 1.266, 11208.490, 1555078332632
278, 1.269, 11208.490, 1555078333239
278, 1.266, 11208.490, 1555078333855
278, 1.266, 11208.490, 1555078334473
278, 1.266, 11208.490, 1555078335079
278, 1.266, 11208.491, 1555078335693
278, 1.268, 11208.491, 1555078336308
276, 1.259, 11208.491, 1555078336929
276, 1.259, 11208.491, 1555078337541
274, 1.250, 11208.491, 1555078338154
274, 1.251, 11208.491, 1555078338761
274, 1.251, 11208.491, 1555078339354
274, 1.251, 11208.491, 1555078339970
274, 1.251, 11208.491, 1555078340571
275, 1.252, 11208.491, 1555078341183
275, 1.253, 11208.491, 1555078341803
275, 1.253, 11208.491, 1555078342421
274, 1.252, 11208.491, 1555078343038
274, 1.252, 11208.491, 1555078343651
275, 1.252, 11208.491, 1555078344264
275, 1.251, 11208.491, 1555078344880
275, 1.251, 11208.491, 1555078345493
274, 1.247, 11208.491, 1555078346116
274, 1.247, 11208.491, 1555078346734
274, 1.247, 11208.491, 1555078347328
274, 1.248, 11208.491, 1555078347944
274, 1.248, 11208.491, 1555078348558
274, 1.247, 11208.492, 1555078349177
274, 1.247, 11208.492, 1555078349792
274, 1.248, 11208.492, 1555078350394
274, 1.248, 11208.492, 1555078351007
274, 1.248, 11208.492, 1555078351615
274, 1.249, 11208.492, 1555078352229
274, 1.249, 11208.492, 1555078352836
274, 1.249, 11208.492, 1555078353450
274, 1.248, 11208.492, 1555078354066
274, 1.248, 11208.492, 1555078354673
274, 1.247, 11208.492, 1555078355289
274, 1.250, 11208.492, 1555078355908
274, 1.250, 11208.492, 1555078356505
274, 1.249, 11208.492, 1555078357118
274, 1.249, 11208.492, 1555078357729
275, 1.253, 11208.492, 1555078358342
276, 1.253, 11208.492, 1555078358960
276, 1.253, 11208.492, 1555078359573
276, 1.254, 11208.492, 1555078360179
275, 1.250, 11208.492, 1555078360791
275, 1.250, 11208.492, 1555078361393
275, 1.250, 11208.493, 1555078362004
275, 1.250, 11208.493, 1555078362614
275, 1.247, 11208.493, 1555078363213
275, 1.249, 11208.493, 1555078363817
275, 1.249, 11208.493, 1555078364416
274, 1.247, 11208.493, 1555078365034
274, 1.247, 11208.493, 1555078365654
275, 1.249, 11208.493, 1555078366267
274, 1.248, 11208.493, 1555078366878
274, 1.248, 11208.493, 1555078367474
274, 1.248, 11208.493, 1555078368083
274, 1.248, 11208.493, 1555078368690
274, 1.248, 11208.493, 1555078369287
274, 1.248, 11208.493, 1555078369886
274, 1.248, 11208.493, 1555078370486
275, 1.251, 11208.493, 1555078371086
275, 1.251, 11208.493, 1555078371685
275, 1.252, 11208.493, 1555078372285
275, 1.251, 11208.493, 1555078372885
275, 1.251, 11208.493, 1555078373498
275, 1.250, 11208.493, 1555078374114
275, 1.250, 11208.493, 1555078374730
275, 1.250, 11208.494, 1555078375344
274, 1.247, 11208.494, 1555078375961
274, 1.247, 11208.494, 1555078376573
274, 1.246, 11208.494, 1555078377187
274, 1.246, 11208.494, 1555078377800
274, 1.246, 11208.494, 1555078378414
274, 1.245, 11208.494, 1555078379028
274, 1.245, 11208.494, 1555078379642
275, 1.246, 11208.494, 1555078380254
274, 1.245, 11208.494, 1555078380865
274, 1.245, 11208.494, 1555078381466
274, 1.245, 11208.494, 1555078382074
275, 1.248, 11208.494, 1555078382695
274, 1.244, 11208.494, 1555078383304
275, 1.245, 11208.494, 1555078383912
275, 1.245, 11208.494, 1555078384513
274, 1.244, 11208.494, 1555078385122
274, 1.244, 11208.494, 1555078385726
275, 1.246, 11208.494, 1555078386338
275, 1.247, 11208.494, 1555078386944
275, 1.247, 11208.494, 1555078387541
275, 1.248, 11208.495, 1555078388162
275, 1.248, 11208.495, 1555078388766
276, 1.251, 11208.495, 1555078389366
276, 1.251, 11208.495, 1555078389982
276, 1.251, 11208.495, 1555078390592
275, 1.248, 11208.495, 1555078391224
275, 1.248, 11208.495, 1555078391825
275, 1.249, 11208.495, 1555078392436
275, 1.248, 11208.495, 1555078393048
275, 1.248, 11208.495, 1555078393659
274, 1.244, 11208.495, 1555078394278
274, 1.244, 11208.495, 1555078394888
274, 1.244, 11208.495, 1555078395503
275, 1.247, 11208.495, 1555078396119
275, 1.247, 11208.495, 1555078396734
274, 1.245, 11208.495, 1555078397346
274, 1.246, 11208.495, 1555078397963
274, 1.246, 11208.495, 1555078398580
274, 1.245, 11208.495, 1555078399197
274, 1.245, 11208.495, 1555078399804
274, 1.248, 11208.495, 1555078400419
275, 1.250, 11208.496, 1555078401039
275, 1.250, 11208.496, 1555078401647
275, 1.251, 11208.496, 1555078402256
275, 1.251, 11208.496, 1555078402863
275, 1.251, 11208.496, 1555078403493
275, 1.252, 11208.496, 1555078404112
275, 1.252, 11208.496, 1555078404729
275, 1.252, 11208.496, 1555078405350
274, 1.249, 11208.496, 1555078405964
274, 1.249, 11208.496, 1555078406574
275, 1.250, 11208.496, 1555078407188
275, 1.250, 11208.496, 1555078407800
275, 1.251, 11208.496, 1555078408403
274, 1.251, 11208.496, 1555078409015
274, 1.251, 11208.496, 1555078409629
275, 1.252, 11208.496, 1555078410250
274, 1.252, 11208.496, 1555078410860
274, 1.252, 11208.496, 1555078411470
275, 1.254, 11208.496, 1555078412090
275, 1.254, 11208.496, 1555078412699
274, 1.252, 11208.496, 1555078413311
274, 1.253, 11208.497, 1555078413911
274, 1.253, 11208.497, 1555078414518
274, 1.255, 11208.497, 1555078415130
274, 1.255, 11208.497, 1555078415737
274, 1.256, 11208.497, 1555078416354
275, 1.256, 11208.497, 1555078416974
275, 1.256, 11208.497, 1555078417587
275, 1.256, 11208.497, 1555078418191
275, 1.255, 11208.497, 1555078418802
276, 1.258, 11208.497, 1555078419415
276, 1.257, 11208.497, 1555078420031
276, 1.257, 11208.497, 1555078420637
275, 1.253, 11208.497, 1555078421247
275, 1.253, 11208.497, 1555078421865
275, 1.251, 11208.497, 1555078422466
274, 1.249, 11208.497, 1555078423076
274, 1.249, 11208.497, 1555078423689
274, 1.247, 11208.497, 1555078424297
274, 1.247, 11208.497, 1555078424914
274, 1.247, 11208.497, 1555078425531
274, 1.246, 11208.497, 1555078426146
274, 1.246, 11208.497, 1555078426752
274, 1.245, 11208.498, 1555078427363
274, 1.246, 11208.498, 1555078427980
274, 1.246, 11208.498, 1555078428585
274, 1.245, 11208.498, 1555078429187
274, 1.245, 11208.498, 1555078429785
274, 1.244, 11208.498, 1555078430386
274, 1.247, 11208.498, 1555078430987
274, 1.247, 11208.498, 1555078431585
274, 1.246, 11208.498, 1555078432184
274, 1.246, 11208.498, 1555078432783
274, 1.245, 11208.498, 1555078433405
274, 1.245, 11208.498, 1555078434021
274, 1.245, 11208.498, 1555078434625
274, 1.246, 11208.498, 1555078435242
274, 1.246, 11208.498, 1555078435852
274, 1.247, 11208.498, 1555078436471
272, 1.239, 11208.498, 1555078437081
272, 1.239, 11208.498, 1555078437699
274, 1.246, 11208.498, 1555078438311
274, 1.246, 11208.498, 1555078438919
274, 1.247, 11208.498, 1555078439540
274, 1.247, 11208.498, 1555078440230
274, 1.247, 11208.498, 1555078440865
280, 1.273, 11208.499, 1555078441485
276, 1.253, 11208.499, 1555078442094
276, 1.253, 11208.499, 1555078442698
276, 1.254, 11208.499, 1555078443306
276, 1.254, 11208.499, 1555078443914
276, 1.253, 11208.499, 1555078444523
