,Language,Problem,ID,Runtimes
0,Java,Binarytrees,2,2
1,Java,Binarytrees,3,2
2,Java,Binarytrees,4,3
3,Java,Binarytrees,6,2
4,Java,Binarytrees,7,5
5,Java,Fannkuchredux,1,4
6,Java,Fannkuchredux,2,1
7,Java,Fannkuchredux,3,5
8,Java,Fasta,2,2
9,Java,Fasta,4,2
10,Java,Mandelbrot,1,8
11,Java,Mandelbrot,2,8
12,Java,Mandelbrot,3,8
13,Java,Mandelbrot,4,8
14,Java,Mandelbrot,6,8
15,Java,Nbody,1,2
16,Java,Nbody,2,2
17,Java,Nbody,3,2
18,Java,Nbody,4,2
19,Java,Nbody,5,2
21,Java,Revcomp,4,8
22,Java,Revcomp,5,8
23,Java,Revcomp,6,8
24,Java,Revcomp,8,8
25,Java,Spectralnorm,1,1
26,Java,Spectralnorm,2,5
27,JavaScript,Binarytrees,1,1
28,JavaScript,Fannkuchredux,1,1
29,JavaScript,Fannkuchredux,3,1
30,JavaScript,Fannkuchredux,4,1
31,JavaScript,Fasta,1,1
32,JavaScript,Fasta,2,1
33,JavaScript,Fasta,3,1
34,JavaScript,Fasta,4,1
35,JavaScript,Nbody,1,1
36,JavaScript,Nbody,2,1
37,JavaScript,Nbody,4,1
38,JavaScript,Nbody,5,1
39,JavaScript,Revcomp,2,2
40,JavaScript,Revcomp,7,3
41,JavaScript,Spectralnorm,1,2
42,JavaScript,Spectralnorm,2,2
43,JavaScript,Spectralnorm,3,2
44,JavaScript,Spectralnorm,5,2
45,Python3,Binarytrees,1,1
46,Python3,Binarytrees,2,1
47,Python3,Fannkuchredux,1,1
48,Python3,Fannkuchredux,2,1
49,Python3,Fannkuchredux,4,1
50,Python3,Fannkuchredux,6,1
51,Python3,Fasta,1,1
52,Python3,Fasta,2,1
53,Python3,Fasta,3,1
54,Python3,Mandelbrot,2,1
55,Python3,Mandelbrot,5,1
56,Python3,Nbody,1,1
57,Python3,Nbody,2,1
58,Python3,Revcomp,4,3
59,Python3,Revcomp,6,3
60,Python3,Spectralnorm,5,1
61,Python3,Spectralnorm,6,1
62,PHP,Binarytrees,1,1
63,PHP,Binarytrees,2,1
64,PHP,Binarytrees,3,1
65,PHP,Fannkuchredux,1,1
66,PHP,Fannkuchredux,2,1
67,PHP,Fannkuchredux,3,1
68,PHP,Fasta,2,1
69,PHP,Fasta,3,1
70,PHP,Fasta,4,1
71,PHP,Mandelbrot,1,1
72,PHP,Mandelbrot,3,1
73,PHP,Nbody,3,1
74,PHP,Revcomp,1,14
75,PHP,Revcomp,2,14
76,PHP,Revcomp,3,7
77,PHP,Spectralnorm,2,1
78,PHP,Spectralnorm,3,1
79,Cs,Binarytrees,1,1
80,Cs,Binarytrees,2,1
81,Cs,Binarytrees,3,1
82,Cs,Binarytrees,4,1
83,Cs,Fannkuchredux,1,1
84,Cs,Fannkuchredux,2,1
85,Cs,Fannkuchredux,3,1
86,Cs,Fannkuchredux,4,1
87,Cs,Fannkuchredux,5,1
88,Cs,Fannkuchredux,6,1
89,Cs,Fasta,1,3
90,Cs,Fasta,2,2
91,Cs,Fasta,3,3
92,Cs,Fasta,4,3
